year_month,Category,total_units_sold,total_demand,moving_avg_3mo,avg_price,avg_inventory_level,promo_days
2022-01,Clothing,51451,62524,62524.0,74.1126411290323,305.993951612903,160
2022-02,Clothing,49184,59037,60780.5,75.2055803571428,310.167410714286,160
2022-03,Clothing,45300,52905,58155.3,70.4190927419355,280.217741935484,160
2022-04,Clothing,44413,52184,54708.7,70.5275,270.65625,160
2022-05,Clothing,46313,54551,53213.3,70.6240322580645,280.201612903226,160
2022-06,Clothing,43018,50560,52431.7,69.3960625,258.116666666667,160
2022-07,Clothing,45388,53875,52995.3,70.7053225806452,289.379032258065,160
2022-08,Clothing,45373,53243,52559.3,70.3134475806452,262.04435483871,160
2022-09,Clothing,43080,51283,52800.3,70.1242291666667,277.447916666667,160
2022-10,Clothing,43436,52065,52197.0,69.6181451612903,263.229838709677,160
2022-11,Clothing,43254,51085,51477.7,70.0444375,274.633333333333,160
2022-12,Clothing,52514,63686,55612.0,75.2566330645161,303.235887096774,160
2023-01,Clothing,54083,65338,60036.3,75.9684274193548,334.239919354839,160
2023-02,Clothing,47485,56517,61847.0,74.7671205357143,291.212053571429,160
2023-03,Clothing,43669,52084,57979.7,69.893810483871,282.45564516129,160
2023-04,Clothing,42575,50510,53037.0,70.3364583333333,252.558333333333,160
2023-05,Clothing,44549,53230,51941.3,70.4170967741935,274.046370967742,160
2023-06,Clothing,42787,50884,51541.3,70.563875,268.252083333333,160
2023-07,Clothing,44309,53101,52405.0,70.5970564516129,257.16935483871,160
2023-08,Clothing,45022,53766,52583.7,70.3402217741936,286.060483870968,160
2023-09,Clothing,42339,49631,52166.0,69.3747708333333,273.085416666667,160
2023-10,Clothing,46291,54192,52529.7,70.3552620967742,267.75,160
2023-11,Clothing,42728,50969,51597.3,70.2569166666667,267.98125,160
2023-12,Clothing,52844,63157,56106.0,75.1704032258064,296.745967741935,160
2024-01,Clothing,49468,59079,57735.0,73.9764791666667,327.075,160
2022-01,Electronics,31463,38488,38488.0,84.8904569892473,298.298387096774,120
2022-02,Electronics,30816,36471,37479.5,85.7607142857143,307.33630952381,120
2022-03,Electronics,34750,40102,38353.7,85.4588978494624,307.768817204301,120
2022-04,Electronics,29360,34399,36990.7,82.3435833333333,302.6,120
2022-05,Electronics,22072,25088,33196.3,75.0685752688172,210.344086021505,120
2022-06,Electronics,32117,37882,32456.3,85.2539166666667,293.05,120
2022-07,Electronics,22160,26152,29707.3,76.0296774193548,243.591397849462,120
2022-08,Electronics,35031,41156,35063.3,87.3236290322581,310.252688172043,120
2022-09,Electronics,31945,37763,35023.7,84.7285277777778,331.736111111111,120
2022-10,Electronics,32480,38554,39157.7,84.9457258064516,296.182795698925,120
2022-11,Electronics,32305,38404,38240.3,85.93825,309.886111111111,120
2022-12,Electronics,34747,40946,39301.3,87.0900537634409,322.922043010753,120
2023-01,Electronics,32415,38775,39375.0,85.3904032258065,331.481182795699,120
2023-02,Electronics,17629,20101,33274.0,72.2548809523809,244.282738095238,120
2023-03,Electronics,33841,40340,33072.0,86.5132258064516,284.158602150538,120
2023-04,Electronics,23650,27461,29300.7,77.2446111111111,291.069444444444,120
2023-05,Electronics,28857,34118,33973.0,81.3804301075269,267.008064516129,120
2023-06,Electronics,33470,39102,33560.3,86.2890277777778,302.613888888889,120
2023-07,Electronics,33241,38887,37369.0,85.4360215053763,282.739247311828,120
2023-08,Electronics,34293,40486,39491.7,86.1000268817204,295.41935483871,120
2023-09,Electronics,32595,37848,39073.7,85.1904444444445,299.561111111111,120
2023-10,Electronics,24221,27926,35420.0,77.2173387096774,245.456989247312,120
2023-11,Electronics,33662,38993,34922.3,86.1440833333333,303.147222222222,120
2023-12,Electronics,32209,36988,34635.7,83.4819892473118,288.271505376344,120
2024-01,Electronics,28006,32606,36195.7,81.2089166666667,262.730555555556,120
2022-01,Furniture,38576,45031,45031.0,124.815896057348,263.044802867384,180
2022-02,Furniture,37457,42946,43988.5,126.330396825397,269.982142857143,180
2022-03,Furniture,40729,46379,44785.3,126.265125448029,267.089605734767,180
2022-04,Furniture,34612,39967,43097.3,121.241203703704,275.5,180
2022-05,Furniture,23589,26675,37673.7,110.184910394265,180.453405017921,180
2022-06,Furniture,37392,42663,36435.0,123.610611111111,269.616666666667,180
2022-07,Furniture,23334,27309,32215.7,110.933136200717,205.060931899642,180
2022-08,Furniture,41141,46444,38805.3,125.684444444444,261.60752688172,180
2022-09,Furniture,39216,44616,39456.3,125.361407407407,247.651851851852,180
2022-10,Furniture,39755,45709,45589.7,125.035949820789,272.413978494624,180
2022-11,Furniture,38751,44355,44893.3,124.95837037037,267.012962962963,180
2022-12,Furniture,39622,45739,45267.7,125.220304659498,263.740143369176,180
2023-01,Furniture,37990,43518,44537.3,123.181666666667,269.177419354839,180
2023-02,Furniture,17130,19173,36143.3,106.051845238095,209.646825396825,180
2023-03,Furniture,41289,47382,36691.0,126.588817204301,256.602150537634,180
2023-04,Furniture,24980,28079,31544.7,112.239666666667,211.075925925926,180
2023-05,Furniture,31230,35862,37107.7,117.746953405018,222.345878136201,180
2023-06,Furniture,38150,43638,35859.7,124.336537037037,252.122222222222,180
2023-07,Furniture,40175,46522,42007.3,126.372007168459,272.232974910394,180
2023-08,Furniture,41234,46769,45643.0,125.870268817204,268.713261648746,180
2023-09,Furniture,38798,43787,45692.7,125.164851851852,256.116666666667,180
2023-10,Furniture,27767,31607,40721.0,114.365053763441,237.870967741935,180
2023-11,Furniture,38485,44241,39878.3,124.849148148148,257.646296296296,180
2023-12,Furniture,36786,41384,39077.3,121.696433691756,270.241935483871,180
2024-01,Furniture,32466,36795,40806.7,118.768611111111,223.218518518519,180
2022-01,Groceries,124473,150434,150434.0,51.8172741935484,338.676612903226,400
2022-02,Groceries,118956,139958,145196.0,52.2054732142857,379.64375,400
2022-03,Groceries,134702,157118,149170.0,52.5114274193548,384.508870967742,400
2022-04,Groceries,116448,135607,144227.7,50.4427416666667,357.5975,400
2022-05,Groceries,94845,110333,134352.7,46.8494758064516,271.460483870968,400
2022-06,Groceries,145632,173699,139879.7,55.30175,417.8225,400
2022-07,Groceries,112795,132940,138990.7,49.6054758064516,331.208064516129,400
2022-08,Groceries,157119,185140,163926.3,56.2211774193548,429.752419354839,400
2022-09,Groceries,126071,147324,155134.7,51.9680833333333,361.515833333333,400
2022-10,Groceries,127345,149314,160592.7,51.44525,353.014516129032,400
2022-11,Groceries,125867,147730,148122.7,52.156525,369.828333333333,400
2022-12,Groceries,131523,153901,150315.0,52.0694758064516,363.906451612903,400
2023-01,Groceries,127657,149567,150399.3,51.6113064516129,368.102419354839,400
2023-02,Groceries,79751,91933,131800.3,45.4280178571429,255.782142857143,400
2023-03,Groceries,132894,156755,132751.7,52.2345403225806,352.462096774194,400
2023-04,Groceries,100398,116660,121782.7,47.9536333333333,324.424166666667,400
2023-05,Groceries,114807,134289,135901.3,49.5739112903226,312.675,400
2023-06,Groceries,151301,180955,143968.0,56.3863083333333,425.425,400
2023-07,Groceries,157510,186346,167196.7,56.1407258064516,437.291129032258,400
2023-08,Groceries,157057,186551,184617.3,56.2642016129032,445.418548387097,400
2023-09,Groceries,125198,146050,172982.3,51.7808583333333,361.870833333333,400
2023-10,Groceries,105018,122904,151835.0,48.3175241935484,317.249193548387,400
2023-11,Groceries,123772,145361,138105.0,51.4583,351.254166666667,400
2023-12,Groceries,124540,144786,137683.7,51.256564516129,368.976612903226,400
2024-01,Groceries,111656,132029,140725.3,49.9758333333333,321.3125,400
2022-01,Toys,37532,45067,45067.0,28.0714055299539,226.41935483871,140
2022-02,Toys,34695,41471,43269.0,27.816556122449,250.436224489796,140
2022-03,Toys,48271,56669,47735.7,30.4087557603687,283.122119815668,140
2022-04,Toys,35979,42919,47019.7,27.6891666666667,277.292857142857,140
2022-05,Toys,19130,22465,40684.3,23.325599078341,183.541474654378,140
2022-06,Toys,34657,40921,35435.0,27.4527857142857,234.980952380952,140
2022-07,Toys,16480,19460,27615.3,22.6067511520737,169.539170506912,140
2022-08,Toys,38041,44454,34945.0,27.6841935483871,225.801843317972,140
2022-09,Toys,36839,43278,35730.7,27.852,232.007142857143,140
2022-10,Toys,37211,44223,43985.0,27.8729723502304,225.281105990783,140
2022-11,Toys,36611,42832,43444.3,27.7657857142857,230.642857142857,140
2022-12,Toys,38366,45159,44071.3,27.7672811059908,238.230414746544,140
2023-01,Toys,36406,42667,43552.7,27.541797235023,244.168202764977,140
2023-02,Toys,11252,12535,33453.7,21.3158673469388,150.688775510204,140
2023-03,Toys,44798,54672,36624.7,30.0673041474654,269.490783410138,140
2023-04,Toys,24563,29114,32107.0,24.8538333333333,238.571428571429,140
2023-05,Toys,33117,39820,41202.0,26.8535483870968,208.739631336406,140
2023-06,Toys,37302,43772,37568.7,27.8567619047619,241.435714285714,140
2023-07,Toys,38160,45090,42894.0,27.86366359447,238.013824884793,140
2023-08,Toys,38256,44772,44544.7,27.9683410138249,226.933179723502,140
2023-09,Toys,37076,43009,44290.3,27.8816190476191,244.204761904762,140
2023-10,Toys,21977,25961,37914.0,24.0423963133641,191.400921658986,140
2023-11,Toys,35927,41284,36751.3,27.4476904761905,225.292857142857,140
2023-12,Toys,33711,40074,35773.0,26.7770737327189,237.834101382488,140
2024-01,Toys,28322,33650,38336.0,25.6673095238095,231.219047619048,140
