seller_id,order_count,avg_vlt_days,vlt_std_dev,on_time_rate,vlt_cv,total_units,active_days,avg_daily_demand,safety_stock_units,demand_during_lead_time,reorder_point_units,max_stock_level_units
1f50f920176fa81dab994f9023523100,1399,15.571830969241567,9.23353614990319,0.9055036344755972,0.5929640623599007,1931,510,3.7862745098039214,58.0,58.95922666981464,117.0,176.0
7c67e1448b00f6e969d365cea6b010ab,973,22.392545647123136,12.020685160641015,0.904059040590406,0.5368163740769404,1364,559,2.440071556350626,48.0,54.63941370782819,103.0,158.0
4a3ca9315b744ce9f8e9374361493884,1772,14.416470988208578,9.326389020534066,0.8902001026167266,0.6469259382661847,1987,597,3.3283082077051924,51.0,47.9824587161984,99.0,147.0
7d13fca15225358621be4086e1eb0964,558,15.692606558506844,10.048943993907772,0.8809106830122592,0.6403616860234297,578,193,2.994818652849741,50.0,46.99651083324848,97.0,144.0
8b321bb669392f5163d04c59e235e066,930,12.61689872397273,9.425964887941834,0.8975124378109453,0.7470904771575947,1018,299,3.404682274247492,53.0,42.95653144148575,96.0,139.0
ea8482cd71df3c1969d7b9473ff13abc,1132,13.315562346068711,9.192070167242196,0.8964646464646465,0.6903253447614297,1203,375,3.208,49.0,42.71632400618843,92.0,135.0
955fee9216a65b617aa5c0531780ce60,1261,10.74037917673108,8.201792064812787,0.9191576086956522,0.7636408296070111,1499,401,3.7381546134663344,51.0,40.14919796987504,91.0,131.0
1025f0e2d44d7041d6cf58b6550e0bfa,910,12.051349105046947,7.840125885009999,0.9077464788732394,0.6505600175275527,1428,414,3.449275362318841,45.0,41.56842155074165,87.0,129.0
6560211a19b47992c3666cc44a7e94c0,1819,9.539485927874267,7.4975898527278515,0.937875751503006,0.7859532378804587,2033,559,3.636851520572451,45.0,34.693693902269025,80.0,115.0
cc419e0650a3c5ba77189a1882b7556a,1651,11.539753288410576,8.107940781242174,0.9400814426992438,0.7026095427347667,1775,574,3.092334494773519,41.0,35.68477715492818,77.0,113.0
da8622b14eb17ae2831f4ac5b9dab84a,1311,11.169686722413628,9.412003210109113,0.9270025839793282,0.8426380653293108,1551,570,2.721052631578947,42.0,30.393305449936026,72.0,102.0
4869f7a5dfa277a7dca6462dcf3b52b2,1124,15.005261495434894,9.542576323955029,0.8841463414634146,0.6359486855232881,1156,536,2.156716417910448,34.0,32.362093822243914,66.0,98.0
06a2c3af7b3aee5d69171b0e14f0ee87,389,17.7378431338677,9.119375795786237,0.763681592039801,0.5141197679425963,405,216,1.875,28.0,33.25845587600193,61.0,94.0
3d871de0142ce09b7081e2b9d1733cb1,1064,13.42082487023938,9.07299091333697,0.9407603890362513,0.6760382466100341,1147,540,2.1240740740740742,32.0,28.50682615956402,61.0,90.0
5151aea44289d6c6b090ee31c2132508,7,17.37599537037037,10.368202025462,1.0,0.5966968685513067,7,4,1.75,30.0,30.407991898148147,60.0,90.0
8160255418d5aaa7dbdc9f4c64ebda44,380,16.77892969841894,12.319459795343931,0.8207547169811321,0.734222028268274,431,316,1.3639240506329111,28.0,22.885185759552407,51.0,74.0
7a67c85e85bb2ce8582c35f2203ad736,1144,11.000076304640864,7.601444199861272,0.9419410745233968,0.6910355882398989,1171,572,2.047202797202797,26.0,22.519386980304983,49.0,72.0
2eb70248d66e0e3ef83659f71b244378,187,17.974676865952247,10.174695308197014,0.8578680203045685,0.5660572028123626,212,164,1.2926829268292683,22.0,23.235557899889493,45.0,68.0
ecccfa2bb93b34a3bf033cc5d1dcdc69,12,35.13316116898148,15.86720996546956,0.75,0.451630580270086,19,26,0.7307692307692307,19.0,25.674233161948003,45.0,71.0
c70c1b0d8ca86052f45a432a38b73958,260,7.6691412794863325,6.287386315592,0.9196428571428572,0.8198292463863855,338,146,2.315068493150685,24.0,17.754587345660138,42.0,60.0
1835b56ce799e6a4dc4eddc053f04066,417,12.770313550278953,8.654464285761208,0.8947368421052632,0.6777017848220461,558,355,1.5718309859154929,22.0,20.072774538184945,42.0,62.0
c7dcd301ecfe5ab7f778ac172cf74be7,3,25.347723765432097,2.733733420551029,1.0,0.1078492666974362,4,3,1.3333333333333333,6.0,33.796965020576124,40.0,74.0
